index,name,region,diet,selectedProteins,exclusions,engineVersion,engineSource,status,engineQA,hardCount,warnCount,weirdCount,hard,warn,weird,days,targetDays,mainCounts,proteinTotals
1,v345 valid quality scenario 1 US mode 0,US,omnivore,chicken|beef|pork|fish|eggs|dairy|protein_powder,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""beef"":2,""eggs"":2,""pork"":2,""fish"":3,""chicken"":3}","[104,114,101,114,104,110,104]"
2,v345 valid quality scenario 2 UK mode 1,UK,omnivore,beef|pork|fish|eggs|dairy|protein_powder,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""eggs"":3,""fish"":3,""beef"":3}","[113,103,101,98,112,102,101]"
3,v345 valid quality scenario 3 SA mode 2,SA,omnivore,chicken|fish|eggs|dairy|protein_powder,no_red_meat,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""fish"":4,""eggs"":3,""chicken"":4}","[113,106,101,115,92,106,115]"
4,v345 valid quality scenario 4 AU mode 3,AU,omnivore,chicken|beef|pork|eggs|dairy|protein_powder,no_fish,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""eggs"":3,""chicken"":3,""beef"":3}","[112,102,102,103,114,101,101]"
5,v345 valid quality scenario 5 CA mode 4,CA,omnivore,chicken|beef|fish|dairy|protein_powder,no_eggs,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""chicken"":4,""beef"":3,""fish"":4}","[106,116,110,117,115,113,117]"
6,v345 valid quality scenario 6 US mode 5,US,omnivore,chicken|beef|fish|eggs|protein_powder,no_dairy,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}","[100,109,109,104,106,104,113]"
7,v345 valid quality scenario 7 UK mode 6,UK,pescatarian,fish|eggs|dairy|protein_powder,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,CONDITIONAL PASS,0,1,2,,Day 6: eggs snack repeats lunch/dinner protein.,low lunch template variety 3 | cottage cheese lunch appears 4 times,7,7,"{""dairy"":4,""eggs"":5,""fish"":5}","[97,104,88,104,101,93,106]"
8,v345 valid quality scenario 8 SA mode 7,SA,pescatarian,fish|eggs|dairy|protein_powder,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,CONDITIONAL PASS,0,1,2,,Day 6: eggs snack repeats lunch/dinner protein.,low lunch template variety 3 | cottage cheese lunch appears 4 times,7,7,"{""dairy"":4,""eggs"":5,""fish"":5}","[97,104,107,100,97,99,108]"
9,v345 valid quality scenario 9 AU mode 8,AU,vegetarian,eggs|dairy|tofu|lentils|beans|chickpeas,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,6,"{""dairy"":2,""eggs"":2,""chickpeas"":2,""beans"":2,""lentils"":3,""tofu"":3}","[84,81,88,75,93,82,86]"
10,v345 valid quality scenario 10 CA mode 9,CA,vegetarian,dairy|tofu|lentils|beans|chickpeas|protein_powder,no_eggs,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""tofu"":3,""chickpeas"":3,""beans"":3,""lentils"":3}","[101,92,94,90,96,82,94]"
11,v345 valid quality scenario 11 US mode 10,US,vegetarian,eggs|tofu|lentils|beans|chickpeas|protein_powder,no_dairy,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}","[95,84,97,86,102,84,103]"
12,v345 valid quality scenario 12 UK mode 11,UK,omnivore,chicken|beef|fish|eggs|dairy|protein_powder,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[104,115,101,100,112,101,99]"
13,v345 valid quality scenario 13 SA mode 12,SA,omnivore,chicken|beef|fish|eggs|dairy,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,5,"{""dairy"":2,""chicken"":3,""eggs"":3,""fish"":3,""beef"":3}","[79,85,78,86,87,86,82]"
14,v345 valid quality scenario 14 AU mode 13,AU,omnivore,chicken|beef|eggs|dairy|protein_powder,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""beef"":4,""eggs"":3,""chicken"":4}","[112,114,101,94,112,114,103]"
15,v345 valid quality scenario 15 CA mode 14,CA,pescatarian,fish|eggs|dairy|protein_powder,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,CONDITIONAL PASS,0,1,2,,Day 6: eggs snack repeats lunch/dinner protein.,low lunch template variety 3 | cottage cheese lunch appears 4 times,7,7,"{""dairy"":4,""eggs"":5,""fish"":5}","[97,104,107,100,97,99,108]"
16,v345 valid quality scenario 16 US mode 15,US,omnivore,fish|beef|pork|eggs|dairy,,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""dairy"":3,""pork"":2,""eggs"":3,""fish"":3,""beef"":3}","[91,103,98,100,99,99,95]"
17,v345 valid quality scenario 17 UK mode 16,UK,vegetarian,tofu|lentils|beans|chickpeas|protein_powder,no_eggs|no_dairy,3.4.6-strict-snack-gate-quality-fix,rebuilt-funnel-engine-v331-us-first-plus-v346-strict-snack-gate-quality-fixed,ALLOWED,PASS,0,0,0,,,,7,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}","[83,99,90,89,103,90,89]"
