index,name,region,diet,engineVersion,engineSource,status,engineQA,engineHardCount,engineWarnCount,extraHardCount,extraWarnCount,hard,warn,days,mainCounts
1,US broad omnivore full variety,US,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 3: protein estimate is high at approximately 124g. | Day 3: protein high 124g,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
2,US no chicken broad,US,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""pork"":3,""beef"":4,""eggs"":3,""fish"":4}"
3,US chicken beef eggs dairy,US,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,6,0,1,,Day 1: chicken snack repeats lunch/dinner protein. | Day 2: eggs snack repeats lunch/dinner protein. | Day 4: beef snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein. | Day 7: chicken snack repeats lunch/dinner protein. | Day 7: protein estimate is high at approximately 120g. | Day 7: protein high 120g,7,"{""beef"":5,""chicken"":5,""eggs"":4}"
4,US fish beef pork eggs,US,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""pork"":3,""beef"":4,""eggs"":3,""fish"":4}"
5,US pescatarian,US,pescatarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,4,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 3: fish snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""eggs"":7,""fish"":7}"
6,US vegetarian tofu legumes,US,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: eggs snack repeats lunch/dinner protein.,7,"{""beans"":2,""eggs"":3,""chickpeas"":3,""tofu"":3,""lentils"":3}"
7,US vegetarian no eggs,US,vegetarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""chickpeas"":3,""tofu"":3,""lentils"":4,""beans"":4}"
8,US no breakfast,US,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
9,SA broad omnivore,SA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 3: protein estimate is high at approximately 124g. | Day 3: protein high 124g,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
10,SA no chicken,SA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""pork"":3,""beef"":4,""eggs"":3,""fish"":4}"
11,UK broad omnivore,UK,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 3: protein estimate is high at approximately 124g. | Day 3: protein high 124g,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
12,UK fish beef eggs,UK,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 7: protein estimate is high at approximately 120g. | Day 7: protein high 120g,7,"{""fish"":5,""beef"":5,""eggs"":4}"
13,AU broad omnivore,AU,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""beef"":3,""chicken"":3,""pork"":2,""eggs"":3,""fish"":3}"
14,CA broad omnivore,CA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,1,0,1,,Day 7: protein estimate is high at approximately 120g. | Day 7: protein high 120g,7,"{""eggs"":3,""chicken"":4,""beef"":4,""fish"":3}"
15,CA no red meat,CA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""fish"":4,""chicken"":5,""eggs"":5}"
16,Generated scenario 16 US mode 1,US,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,2,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""pork"":3,""beef"":4,""eggs"":3,""fish"":4}"
17,Generated scenario 17 SA mode 2,SA,omnivore,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,PASS,0,0,0,0,,,7,"{""fish"":4,""chicken"":5,""eggs"":5}"
18,Generated scenario 18 UK mode 3,UK,pescatarian,3.4.1-snack-balance-reset,rebuilt-funnel-engine-v331-us-first-plus-v341-snack-balance-50gen,ALLOWED,CONDITIONAL PASS,0,4,0,0,,Day 2: eggs snack repeats lunch/dinner protein. | Day 3: fish snack repeats lunch/dinner protein. | Day 5: eggs snack repeats lunch/dinner protein. | Day 6: fish snack repeats lunch/dinner protein.,7,"{""eggs"":7,""fish"":7}"
